0.084988	338592	-13488.4	668120
0.093410	-436303	795167	-356554
0.012540	-298261	646956	-615923
0.094967	-502025	-248646	432010
0.065394	-435161	-123552	-62639.6
0.009672	-161789	479675	-433219
0.029116	-129619	-864595	295638
0.056448	-97039.1	531814	-163961
0.099227	487806	-526467	117187
0.100149	-354150	61561.6	277793
0.016185	-580645	29558.3	-130411
0.100214	55009.2	-425457	-258971
0.099056	-283082	-743063	-21176.7
0.050500	745449	185973	258904
0.083453	937482	-102691	627743
0.014471	-691763	394711	-218281
0.043555	642546	806140	-104036
0.095265	-274659	126800	486964
0.082427	82069	350914	433444
0.099009	188030	-357447	-314987
0.067852	687439	-327750	-24283.9
0.004096	-794894	355708	406671
0.086827	32094.3	-183380	-1.08872e+06
0.096582	182287	-474614	-98050.5
0.070036	704633	-227852	-226182
0.078599	255922	-294064	170106
0.077123	425063	-128591	205630
0.040985	566368	387371	391246
0.068234	109923	20300.6	392792
0.018167	-783573	-593061	457184
0.073501	97896.9	605749	426945
0.003522	-265916	598644	229753
0.028485	349455	462305	-185072
0.004996	-1.27184e+06	311412	219622
0.010384	-228897	-646461	336814
0.084524	407264	155625	-728777
0.071760	430864	195439	-165034
0.032459	175542	150812	-374349
0.098022	525840	-996486	-342785
0.003154	-61784.8	782303	-421958
0.045155	25873.9	563310	-264101
0.039757	297047	29620.9	260326
0.078968	23301	-308246	-275466
0.082377	228329	-141630	65835.1
0.018830	-526530	-873359	-523129
0.050577	-542498	192361	-120991
0.046539	-10354.1	106744	424958
0.067400	475771	379652	508929
0.073053	-104302	341899	-380995
0.078427	-1.01866e+06	167859	315484
0.029349	356379	-1.00829e+06	795841
0.070429	-617148	-490569	73276.8
0.067344	73803.4	-120057	-475929
0.016991	-372121	-423769	163698
0.012348	-169962	-85809.8	31379.8
0.052164	317173	-254576	587005
0.099158	-267601	-24879.5	-190345
0.035816	-60387.2	-766544	590230
0.061150	225702	-392062	581111
0.023676	-428219	80040.7	519371
0.078281	-453185	492366	528170
0.027048	-382268	19075.4	656406
0.052578	-642793	-121637	210751
0.071835	220305	-266748	-537174
0.091761	-309261	78438.7	-466951
0.099752	817355	-735831	464673
0.056561	204846	-368610	-83779.6
0.013919	-291951	-531077	-437258
0.015449	-549396	122866	-2259.44
0.026040	-557097	-577734	-626482
0.087565	-333269	140501	553598
0.025880	-458148	-124450	-449522
0.084687	-555593	-106046	406464
0.025810	134115	-612349	615303
0.096231	-403117	-781703	42698.2
0.037005	-208557	-688478	785785
0.019986	343314	-210477	-370508
0.026366	-791582	-472182	385055
0.062929	-117160	-62355.9	-855486
0.049050	313418	890427	59249
0.035917	638518	-506401	-494550
0.085965	448229	730808	-35305.2
0.060137	-9629.66	-694274	-453433
0.057048	220186	-486246	150220
0.095091	-259157	-729365	154839
0.029974	376285	-97159.9	395188
0.078002	-722762	-340091	-383219
0.077507	124671	179023	-522418
